OTUID	LF-1.fq	LF-6.fq	B80-1.fq	B80-4.fq	LF-2.fq	LF-3.fq	B80-5.fq	B80-6.fq	B80-2.fq	LF-4.fq	LF-5.fq	B80-3.fq
534686	37	46	17	19	29	44	12	25	31	80	53	22
704462	18	42	29	30	32	17	35	44	44	42	33	43
591358	5	2	7	1	1	10	7	4	4	7	6	3
4373459	2	6	0	8	1	10	3	1	1	4	2	4
91695	5	3	2	2	1	5	3	2	5	5	0	0
761601	119	120	37	101	58	150	70	62	54	123	119	50
819037	10	10	4	8	6	1	5	10	9	8	2	10
16939	26	15	61	19	50	11	242	64	110	1	13	63
1123215	8	20	26	6	27	14	27	27	14	16	7	47
655278	3	3	1	6	4	3	4	4	2	2	5	5
574991	34	30	25	23	15	41	27	20	32	29	36	41
1087471	2	0	0	0	0	0	0	2	0	0	0	0
591340	77	100	34	64	65	100	55	68	67	83	71	48
215423	6	2	4	0	1	6	3	5	1	5	8	2
549954	3	2	0	2	1	3	1	2	0	4	0	4
408706	105	84	73	46	93	44	65	163	38	31	11	152
204372	21	22	47	26	40	10	41	19	29	12	17	11
709657	35	20	4	10	8	20	8	13	10	12	15	1
185950	36	36	81	37	32	20	48	57	72	19	27	55
109194	10	14	10	17	12	9	6	9	5	11	7	10
132233	25	43	27	36	12	39	46	21	28	36	31	44
510646	114	264	80	270	205	368	473	268	218	300	249	158
589827	1	0	2	0	0	0	1	0	0	0	0	0
40439	31	23	102	30	15	53	51	46	73	38	28	41
812978	2	0	0	0	0	4	1	1	1	0	4	0
240506	49	49	21	24	42	62	23	23	40	58	48	16
811424	42	34	50	17	25	22	172	48	116	24	26	51
329072	21	26	4	31	12	47	26	19	8	25	17	10
527397	147	125	171	117	115	68	190	116	211	67	95	133
512552	1	2	0	1	0	5	3	0	0	2	2	1
4294646	29	49	49	38	31	21	29	42	37	25	23	36
370343	69	45	67	47	53	113	55	37	58	13	39	69
610486	69	89	9	9	48	19	11	17	8	57	56	23
878663	53	45	22	22	48	33	29	39	22	39	39	20
947308	38	34	20	34	40	33	35	31	22	31	24	22
849821	3	0	0	1	1	4	0	0	1	3	2	0
150977	1	0	0	0	0	0	0	0	0	0	0	0
626383	13	19	10	19	5	34	7	8	14	31	12	11
1054879	19	12	6	11	3	9	6	3	8	11	10	10
4319297	92	67	66	116	72	23	42	69	63	33	22	62
4329074	43	128	73	118	95	84	154	144	116	120	94	94
4293581	29	31	13	18	16	42	37	32	27	51	35	8
262768	17	4	10	1	9	5	23	15	12	4	2	14
4435256	18	1	2	1	3	0	1	3	2	0	0	0
576136	11	8	5	3	7	6	6	11	10	11	16	3
734945	8	7	7	1	23	5	13	19	6	2	0	7
557205	1	0	0	0	0	0	0	0	0	0	0	0
529762	119	74	357	32	27	59	173	61	170	24	16	116
1646259	48	25	3	10	18	68	3	5	1	58	171	6
511916	62	101	41	90	45	121	71	57	57	117	117	53
547148	10	18	9	30	15	42	10	10	14	12	19	15
640641	11	0	2	0	0	0	0	0	0	1	1	0
536678	25	11	57	29	23	10	27	59	38	22	12	86
247956	6	3	0	3	1	4	1	1	0	7	3	0
271943	164	159	108	199	122	96	194	199	195	137	174	250
562367	12	27	8	21	7	43	6	10	16	18	16	12
252345	159	224	1065	281	389	144	1160	983	850	154	102	750
979918	107	85	31	62	33	99	22	44	37	134	96	30
1110562	19	13	9	21	12	18	16	31	18	17	14	22
137474	12	19	5	21	10	29	9	18	10	25	26	6
77292	31	31	26	12	11	14	13	18	7	20	11	27
1072787	12	23	23	20	10	17	28	33	29	19	8	26
4306457	3	3	2	2	0	4	0	2	4	1	2	2
131892	22	20	17	16	22	18	36	19	18	9	24	11
822571	1	1	0	1	0	1	0	2	1	0	1	0
74685	63	48	48	17	58	4	38	80	8	31	18	45
544847	19	24	4	1	30	2	3	9	1	0	1	0
1719556	19	22	19	15	10	24	40	9	27	9	2	17
368218	40	31	38	34	13	63	13	19	25	47	12	30
567564	14	20	14	22	18	25	13	21	15	27	23	4
4375328	85	75	33	67	81	75	53	55	62	41	50	68
906820	46	40	40	25	17	56	32	32	37	53	27	32
1068902	31	16	38	11	7	12	18	11	26	15	11	57
644798	8	3	1	2	1	0	1	6	3	0	1	0
548434	2	0	1	1	1	1	0	1	0	0	0	0
1134142	17	40	7	22	23	40	26	23	14	50	35	19
813945	84	122	197	80	63	88	36	69	29	68	152	65
541424	22	4	2	5	18	0	5	7	4	1	9	10
1117069	33	14	4	33	4	4	1	9	2	2	3	57
220551	113	87	39	48	45	83	35	59	28	75	74	28
778795	25	56	26	36	33	34	42	32	33	46	62	32
4373456	6	7	6	6	4	15	5	6	8	17	13	3
672587	3	2	7	4	0	8	3	3	4	1	2	2
968346	44	32	18	21	19	24	19	30	15	37	24	5
814232	37	25	10	30	18	65	36	14	38	52	32	6
1638581	34	43	28	30	16	47	32	27	33	32	29	21
587540	9	12	2	9	0	11	4	5	5	7	6	4
2920372	38	30	17	28	24	49	24	14	32	48	53	13
811435	36	26	10	16	13	27	17	14	15	26	11	10
554981	2	0	0	0	0	0	0	0	0	0	0	0
1052559	118	87	56	52	104	97	66	105	77	56	53	87
578784	1	0	0	0	0	0	0	0	0	0	0	0
552989	39	63	14	40	30	60	33	22	28	51	61	29
566646	4	2	0	2	2	3	1	2	0	4	1	2
358068	128	93	105	107	56	19	72	146	88	80	60	152
4463100	12	68	7	35	35	65	38	21	20	54	38	31
4475718	35	6	0	1	1	1	0	1	0	6	0	0
846710	2	4	6	4	3	0	6	7	1	1	1	3
827089	5	3	1	6	3	7	2	0	0	7	2	4
4409930	3	7	3	5	2	4	1	3	4	5	4	1
358280	23	86	39	54	68	78	89	65	64	53	74	63
13074	3	4	13	2	3	5	6	1	3	2	2	3
4457555	13	18	11	21	23	53	13	12	11	24	19	32
551895	59	127	148	135	67	122	312	356	196	97	121	139
238031	9	7	7	1	3	1	0	2	4	3	6	2
698517	59	61	19	33	28	69	21	27	24	68	62	20
340199	44	44	13	47	27	51	39	43	32	66	46	17
4470402	4	10	3	0	13	20	7	2	9	9	6	6
113054	1	3	2	3	5	10	0	3	6	5	4	1
333628	36	23	13	31	23	9	21	22	22	10	10	19
580625	5	5	10	6	1	11	6	3	4	6	3	3
2929705	180	220	173	67	257	133	258	204	153	124	199	115
960217	45	28	22	17	11	39	8	7	23	15	19	18
1144707	2	2	1	2	1	3	0	4	2	2	1	1
352105	27	41	9	38	22	83	43	17	26	38	55	17
995583	3	5	21	12	13	3	9	7	27	6	0	15
252012	2	0	0	3	1	2	2	1	0	1	0	2
144640	19	32	24	7	49	3	18	50	14	11	8	17
561885	24	113	130	136	123	18	321	163	205	13	24	106
220164	12	24	14	10	8	16	12	16	12	15	12	12
616465	2	11	4	2	1	1	2	0	0	0	1	7
245273	39	48	43	39	12	111	26	21	33	57	61	30
334185	3	0	2	6	2	4	1	1	6	15	2	6
697479	6	2	3	2	1	0	2	2	3	1	2	4
720353	216	162	450	597	144	56	358	559	330	135	126	482
