	B8011	B8012	B8013	LF11	LF12	LF13	B8021	B8022	B8023	LF21	LF22	LF23	id
99	261207.882	156610.393	108158.006	0	0	0	93898.787	38637.103	16639.949	75393.926	41005.784	33383.051	Analyte 101
100	0	0	0	64189.498	57626.092	49157.25	0	0	0	0	0	0	unknown
101	37173.886	49858.289	41891.395	20922.907	26183.24	23553.0735	34056.859	20965.868	23790.62	92129.125	61214.195	60245.384	Analyte 103
102	241450.925	344358.406	327305.325	3525172.29	3845567.48	3169109.43	390343.977	275455.301	390247.823	424250.288	370871.847	415634.149	Analyte 104
103	0	0	0	24011.138	21852.512	20202.886	0	0	0	41346.963	25575.706	25278.194	Analyte 105
104	16489.59	31261.1	24481.475	0	0	0	20644.278	11043.321	15100.595	166796.924	93359.329	95980.568	Analyte 106
105	0	0	0	267014.932	228188.654	166574.836	0	0	0	0	0	0	phenylacetaldehyde 1
106	0	0	0	45012.436	49912.224	61497.547	0	0	0	0	0	0	Analyte 108
107	0	0	0	0	0	0	0	0	0	28157.2115	27831.776	28482.647	Analyte 109
108	0	0	0	11690.333	13836.457	12763.395	24888.16	16397.32	20642.74	28309.757	20059.806	18161.126	Analyte 110
109	37437.528	42503.038	45485.552	375131.754	398154.119	337516.644	15217.206	10692.24	12941.875	64935.9215	64091.687	65780.156	unknown
110	143538.17	133018.909	113408.964	271739.538	255453.925	214528.358	196738.26	115758.892	121849.043	284887.2	179839.359	176453.521	malonic acid 1
111	0	0	0	211883.132	389896.646	362276.661	0	0	0	47893.866	48450.441	72984.123	Analyte 113
112	0	0	0	49093.099	52731.16	50849.713	0	0	0	69626.667	53715.352	60025.676	Analyte 114
113	0	0	0	13141.887	15829.134	13460.489	7240.335	5662.922	5968.868	10317.203	6254.581	10021.549	Analyte 115
114	0	0	0	172675.752	168970.049	137943.768	0	0	0	0	0	0	unknown
115	0	0	0	0	0	0	0	0	0	22788.761	14376.596	17261.439	Methylmalonic acid
116	47897.499	64317.166	73409.42	121217.62	102449.174	86666.111	85200.739	74090.582	73264.367	121451.214	109022.856	126022.717	unknown
117	9819.432	15613.03	21406.628	0	0	0	0	0	0	52102.966	44709.537	37316.108	Analyte 119
118	0	0	0	81020.97	77996.287	84045.653	0	0	0	63503.813	72924.796	88773.57	valine
119	0	0	0	28669.148	25980.906	31357.39	0	0	0	0	0	0	Analyte 121
120	28172.203	25631.732	23295.782	0	0	0	22856.297	14874.408	13442.511	0	0	0	Analyte 122
121	108557.063	164839.337	158933.003	236447.842	263089.849	217085.523	159930.502	112267.408	154702.507	174958.164	147029.302	160206.327	canavanine degr prod
122	374.004	480.25	427.127	181664.845	157988.654	158705.303	687.707	4411.911	8136.115	61997.016	28264.756	18260.184	Analyte 124
123	0	0	0	31161.687	36301.157	27764.247	0	0	0	10412.775	10087.61	10737.94	hydroxyurea
124	0	0	0	222064.609	230898.984	193344.084	0	0	0	0	0	0	unknown
125	0	0	0	8818.123	12809.43	10914.715	0	0	0	0	0	0	Analyte 127
126	24066.022	39022.287	34353.825	40032.7755	41856.419	38209.132	0	0	0	13778.009	11146.0385	8514.068	unknown
127	0	0	0	81379.369	84957.141	65400.804	0	0	0	0	0	0	Analyte 129
128	203361.191	291534.088	345609.123	8391636.57	8947544.61	7780172.47	207217.17	134060.378	243039.5	3220738.25	1706634.68	1649140.67	4-hydroxybutyrate
129	0	0	0	0	0	0	0	0	0	504784.929	601912.698	701671.742	urea
130	10401.266	9272.827	7689.185	0	0	0	8907.929	6963.5255	5019.122	0	0	0	Analyte 132
131	0	0	0	2205656.78	2425889.03	2124847.71	0	0	0	42299.012	35559.16	28819.308	Dihydroxyacetone
132	0	0	0	36217.855	40134.244	34238.284	0	0	0	0	0	0	2-ketoadipate 3
133	36703.809	74461.03	55003.268	214149.682	277129.453	238845.044	11708.33	14010.958	9405.702	196742.807	137359.906	140235.885	Analyte 135
134	0	0	0	231900.64	207778.34	199243.446	0	0	0	60554.329	36036.459	31861.048	Analyte 136
135	10530.584	22733.049	18847.778	103715.506	100933.529	100678.335	188528.008	126503.592	183043.878	206234.398	141554.137	147158.998	Analyte 137
136	0	0	0	69953.785	69661.977	57673.591	0	0	0	0	0	0	Analyte 138
137	0	0	0	177493.241	150865.105	132015.487	0	0	0	0	0	0	4-Methylbenzyl alcohol
138	0	0	0	0	0	0	27336.675	22236.845	19354.398	0	0	0	unknown
139	4104519.99	4899397.29	4368614.26	15292014.2	14572782.8	14042668.7	3200630.68	2557338.5	3367057.79	11647349.1	9988228.21	10544807.9	glycerol
140	0	0	0	264823.114	398079.873	475686.584	0	0	0	785358.562	600596.9205	415835.279	oxamic acid
141	1388034.22	1510888.51	1633742.8	2301538.83	2451159.03	2246374.05	1148445	1002642.43	1075543.715	1776169.48	1448600.05	1456425.98	Ethanolamine
142	0	0	0	0	0	0	0	0	0	31965.724	33915.148	35864.572	Analyte 144
143	50945.35	42064.675	17329.865	0	0	0	0	0	0	1288177.983	1644856.34	931499.625	Analyte 145
144	0	0	0	20728.676	19487.936	16761.413	0	0	0	0	0	0	unknown
145	0	0	0	21245.803	23304.921	17417.654	0	0	0	32000.974	24004.85	20238.785	2-Deoxyuridine
146	0	0	0	0	0	0	0	0	0	80773.17	45214.865	43399.417	unknown
147	114029999	137814168	60242333.4	5779595.3	11788195.8	8489016.4	82647701.9	136192188	42573049.1	31923967.5	31073603.8	35900451.6	phosphate
148	2438506.17	2088027.3	1972904.76	0	0	0	2494469.82	2203760.07	2110193.84	0	0	0	Analyte 150
149	789858.335	1198448.79	927431.67	0	0	0	969811.126	924470.7555	879130.385	0	0	0	unknown
